"Index","EBAY","JPM","K"
2009-01-01,19.924780683,19.344409975,17.477005849
2009-01-02,20.006288519,18.838993232,18.11348559
2009-01-05,20.087837016,17.346897933,17.739582486
2009-01-06,20.132467067,17.510035138,18.414486377
2009-01-07,20.098017006,17.371940179,18.776639717
2009-01-08,20.09459394,16.647241788,19.331988319
2009-01-09,20.023232619,16.417023693,19.350350339
2009-01-12,20.056522494,16.963480177,19.564403569
2009-01-13,20.131628302,18.04999066,19.568267618
2009-01-14,19.796610852,19.263694475,19.364659046
2009-01-15,19.987108937,18.922693907,19.341597645
2009-01-16,19.880212333,18.191740762,20.89909167
2009-01-19,19.890436394,18.223171152,20.960242892
2009-01-20,19.833109571,17.579472048,21.589949851
2009-01-21,19.88585668,19.101392128,21.877007083
2009-01-22,19.34327515,21.017580702,21.789111961
2009-01-23,19.415069234,21.453236825,21.554626817
2009-01-26,19.303996528,22.094797159,21.80595564
2009-01-27,19.374660583,21.866805844,22.183143403
2009-01-28,19.490333726,21.482788853,21.761411099
2009-01-29,19.475481804,21.311711054,22.113893879
2009-01-30,19.557685631,22.082583037,22.016896229
2009-02-02,19.567510527,21.778201206,22.868033304
2009-02-03,19.717605605,21.062767913,22.773722472
2009-02-04,19.621050829,21.33476559,22.502288256
2009-02-05,19.789845291,21.509355344,22.127486605
2009-02-06,19.772302376,22.919078523,21.342483369
2009-02-09,19.848517309,22.293052372,21.431235024
2009-02-10,19.879734693,22.193389811,20.834352057
2009-02-11,19.866111536,22.595795856,20.86103486
2009-02-12,19.851293391,22.988661634,20.338609717
2009-02-13,19.79674677,22.335256913,21.034428087
2009-02-16,19.798070662,22.290672911,21.01934021
2009-02-17,19.673496435,21.448418724,20.364542073
2009-02-18,19.744924116,21.294033378,20.297282732
2009-02-19,19.744135111,21.429623368,20.287183386
2009-02-20,19.70398521,20.988060755,20.201933051
2009-02-23,19.682092993,21.244619779,20.103540195
2009-02-24,19.664733614,20.522475808,19.923400863
2009-02-25,19.589404586,21.347977831,19.820261962
2009-02-26,19.535482619,22.319151723,20.15233424
2009-02-27,19.339128889,23.460314084,20.561858761
2009-03-02,19.32335956,22.975670486,20.299786061
2009-03-03,19.349883195,23.183682723,20.776253543
2009-03-04,19.393594099,21.685984338,20.067720701
2009-03-05,19.41454097,20.643352423,19.553458215
2009-03-06,19.387749209,20.116821364,19.853769201
2009-03-09,19.491787432,19.880338341,19.244539712
2009-03-10,19.575185454,21.08531564,18.71762764
2009-03-11,19.701155891,21.476230876,18.428337734
2009-03-12,19.78236609,22.294052267,18.29417952
2009-03-13,19.708081494,22.657009592,18.024601682
2009-03-16,19.613322973,22.356674412,18.333963013
2009-03-17,19.681475787,23.01984573,17.558014646
2009-03-18,19.651818848,22.71424341,16.904787431
2009-03-19,19.658574052,22.434819094,17.081710331
2009-03-20,19.718947484,21.945918477,17.450138399
2009-03-23,19.821543913,24.130530961,17.020864503
2009-03-24,19.737836043,22.595722776,16.693107148
2009-03-25,19.752605844,24.090572691,16.630306356
2009-03-26,19.787661745,24.239226795,16.347210207
2009-03-27,19.818023879,23.196474813,16.05135918
2009-03-30,19.848229808,22.641829781,16.580509619
2009-03-31,19.793369434,23.019826998,16.840206613
2009-04-01,19.895174699,23.764764324,17.162864655
2009-04-02,19.959505704,22.944637876,16.929177335
2009-04-03,20.190905134,22.849514848,17.007266948
2009-04-06,20.134629462,22.289608107,17.48157924
2009-04-07,20.121757507,21.951176829,18.694011262
2009-04-08,20.199354359,21.858134677,18.657874581
2009-04-09,20.508973436,23.084646899,18.9963721
2009-04-10,20.50764249,22.924236008,19.016877334
2009-04-13,20.340167602,22.431885535,18.866402543
2009-04-14,20.297646597,21.331507623,19.496992887
2009-04-15,20.289072852,21.647679315,19.428680683
2009-04-16,20.157465534,21.860193222,19.336380104
2009-04-17,20.152705683,21.393979957,19.050212183
2009-04-20,20.196429223,21.319698705,19.407396255
2009-04-21,20.187276769,22.014605977,19.486488902
2009-04-22,20.358313395,22.408139185,19.40612286
2009-04-23,21.095871384,22.228887034,19.222842107
2009-04-24,21.054435863,21.604087699,19.284959111
2009-04-27,20.928923721,21.451722186,18.8975357
2009-04-28,20.798033202,22.363568582,19.257792967
2009-04-29,20.828659754,22.63651828,18.986996276
2009-04-30,20.792285288,21.489328342,21.841456088
2009-05-01,20.711975727,21.136425795,22.990653664
2009-05-04,20.680159686,21.200550568,23.218434822
2009-05-05,20.896277086,20.655605247,22.681234065
2009-05-06,20.826612404,20.281398554,22.017082943
2009-05-07,20.882905072,19.325641779,21.496018407
2009-05-08,21.143243042,20.354564226,21.138732614
2009-05-11,21.039405504,19.454709186,21.442517827
2009-05-12,20.983955848,19.739883738,21.185029949
2009-05-13,20.740068934,20.213408849,21.423637929
2009-05-14,20.940551363,20.532538631,22.062252783
